department, year, 5to599, 6to699, 7to799, 8to899, 9to10, avg_grade
CS, 2016, 18, 85, 46, 7, 2, 6.76
CS, 2017, 15, 81, 28, 5, 1, 6.67
CS, 2018, 10, 70, 32, 9, 2, 6.82
CS, 2019, 15, 100, 42, 6, 4, 6.81
CS, 2020, 16, 94, 43, 6, 4, 6.81
DEOS, 2016, 24, 43, 30, 10, 0, 6.73
DEOS, 2017, 17, 40, 27, 5, 0, 6.76
DEOS, 2018, 17, 46, 20, 6, 0, 6.75
DEOS, 2019, 4, 41, 20, 5, 3, 6.90
DEOS, 2020, 9, 50, 35, 7, 0, 6.87
DET, 2016, 2, 33, 43, 26, 7, 7.50
DET, 2017, 3, 23, 62, 27, 5, 7.53
DET, 2018, 0, 21, 58, 31, 4, 7.63
DET, 2019, 0, 27, 68, 34, 5, 7.55
DET, 2020, 0, 23, 56, 33, 9, 7.74
LOXRI, 2016, 20, 75, 80, 23, 0, 7.10
LOXRI, 2017, 8, 84, 110, 7, 0, 7.06
LOXRI, 2018, 11, 104, 85, 7, 6, 6.99
LOXRI, 2019, 18, 96, 70, 16, 3, 6.95
LOXRI, 2020, 22, 120, 68, 29, 4, 6.95
M&E, 2016, 13, 35, 47, 16, 1, 7.14
M&E, 2017, 6, 39, 48, 2, 0, 6.99
M&E, 2018, 5, 87, 53, 14, 0, 6.97
M&E, 2019, 6, 54, 47, 5, 2, 6.98
M&E, 2020, 5, 80, 32, 9, 0, 6.89
ODE, 2016, 26, 135, 123, 37, 7, 7.07
ODE, 2017, 10, 131, 106, 35, 1, 7.09
ODE, 2018, 16, 130, 111, 22, 0, 6.98
ODE, 2019, 16, 141, 137, 24, 1, 7.03
ODE, 2020, 12, 136, 124, 32, 1, 7.06
OIK, 2016, 33, 96, 70, 17, 7, 7.00
OIK, 2017, 24, 97, 51, 17, 4, 6.99
OIK, 2018, 19, 81, 71, 25, 2, 6.99
OIK, 2019, 26, 95, 48, 29, 7, 6.97
OIK, 2020, 31, 102, 60, 26, 5, 6.90
STAT, 2016, 15, 25, 4, 3, 0, 6.49
STAT, 2017, 14, 22, 18, 8, 0, 6.81
STAT, 2018, 6, 21, 9, 4, 0, 6.77
STAT, 2019, 6, 35, 12, 2, 1, 6.66
STAT, 2020, 15, 36, 18, 2, 1, 6.62
