department, year, 4_years, 5_years, 6_years, 7_years_plus
DEOS, 2016, 7, 33, 30, 37
DEOS, 2017, 6, 36, 21, 26
DEOS, 2018, 0, 6, 36, 47
DEOS, 2019, 6, 35, 17, 15
DEOS, 2020, 8, 33, 25, 35
OIK, 2016, 50, 69, 38, 66
OIK, 2017, 44, 73, 30, 46
OIK, 2018, 22, 68, 55, 53
OIK, 2019, 43, 60, 54, 48
OIK, 2020, 85, 51, 50, 38
DET, 2016, 37, 46, 12, 16
DET, 2017, 36, 45, 22, 17
DET, 2018, 46, 48, 12, 8
DET, 2019, 38, 52, 22, 22
DET, 2020, 38, 53, 10, 20
ODE, 2016, 79, 97, 65, 87
ODE, 2017, 66, 98, 36, 83
ODE, 2018, 55, 116, 46, 62
ODE, 2019, 44, 148, 76, 51
ODE, 2020, 64, 113, 61, 67
LOXRI, 2016, 62, 64, 50, 22
LOXRI, 2017, 57, 91, 34, 27
LOXRI, 2018, 54, 88, 42, 29
LOXRI, 2019, 34, 87, 51, 31
LOXRI, 2020, 57, 97, 43, 46
M&E, 2016, 28, 51, 16, 17
M&E, 2017, 20, 49, 12, 14
M&E, 2018, 33, 70, 25, 31
M&E, 2019, 25, 58, 24, 7
M&E, 2020, 34, 49, 24, 19
CS, 2016, 8, 37, 43, 70
CS, 2017, 8, 30, 37, 55
CS, 2018, 6, 34, 26, 57
CS, 2019, 18, 41, 40, 69
CS, 2020, 22, 45, 30, 67
STAT, 2016, 2, 25, 8, 12
STAT, 2017, 13, 25, 12, 12
STAT, 2018, 4, 18, 9, 9
STAT, 2019, 7, 24, 11, 14
STAT, 2020, 7, 27, 17, 21
